1301,poetry,i want,cools,-,96,
1302,meme,force with you,"The'paut, Mathieu","sewe, kipo",81,
1303,maxim,bad person,jbs,-,18,
1304,"translation, ",ring  song,jbs,kip,139,sp
1306,maxim,moby dick,jbs,pilo,79,
1307,poetry,song Goodbye blue sky,jbs,-,120,
1308,maxim,girl not command,jbs,-,20,
1309,translation,reincarnation,tihonov,-,216,
1310,question,translation,"Rudenko, Vadim",kipo,31,
1311,poetry,"song, breathe",jbs,kipo,263,
1312,poetry,poem syria,jbs,kipo,200,
1313,meme,light out,"Vowell,Timothy",-,21,
1314,translation,pigeon bath,jbs,-,440,
1315,translation ,(frag) Yertle,Vowell,-,33,
1316,instruction,drawing blood,???,"mali, campbell, sala",266,
1317,translation,night watch,jbs,-,92,
1318,poetry,hymn adeste,hansberry,-,39,
1319,translation,leguin revolution,miles,-,136,
1320,translation,song that person,sala,-,176,
1321,translation,Anulintale,tibbetts,-,194,
1322,translation,poem waso walo laso,enwijan,kipo,63,
1323,translation,anulintale 2,"tibbetts, john",-,213,
1324,precis,iliad,miles,-,121,
1325,tale,transfiguration,miles,-,145,
1326,precis,hobbitt,howlett,-,74,
1327,translation,pound,ordare,-,55,
1328,vignette,"volapu""k",-,-,228,
1329,translation,game red sword,waldron,-,128,
1331,translation,poem little bird,-,-,125,
1330,translation,song cold night,schneider,-,40,
1332,translation,song,hansberry,-,25,
1333,translation,song hello,waldron,-,161,
1334,poetry,drinking songs,joop,-,1253,
1335,translation,song heavy,schneider,-,11,
1336,translation,"DDJ 1,2",joop,-,209,
1337,translation,manifesto,"smolny, tomas",-,39,
