801,discussion,large numbers,joop,"Janseger, PIeter, kipo",97,
802,maxim, love,ddii,"jona, eads",37,
803,maxim,lucifer,LearnUseless tp,-,5,
804,hat,"site, paper, etc.",hansberry,"kipo, koala, j^ames^, kuti, mato",820,
805,welcome,new site,joop,-,8,
806,greeting,mother's day,anaya,-,18,
807,status,olin,"Marti'nez, Victor Ma\rio",-,23,
808,question,site dead,erixon,"kipo, hansberry",118,
809,question,want to talk,erixon,"kipo, hansberry",419,
810,intro,Gabriel,erixon,"kipo, keita soundjat",97,
811,intro,Nole,"Ignacio, Noel Oliver","kipo, erixon",102,
812,intro,Josi,"Baldwin, Joshua","Has^imoto, Jos^ito; erixon, BRadley, Melissa; joop",342,
813,question,who here,Bradley,"Yimchaloi,Urk; joop, kipo, anaya",131,
814,chat,talk to man,"Hooker, Alan","kipo, anaya",176,
815,question,tokipona.org,joop,kipo,88,
816,chat,carrot salad,bradley,"mato, kipo",93,
817,discussion,human right,anaya,kipo,264,
818,greeting,happy ny,joop,castelbou,14,
819,greeting,ny wish,anaya,kipo,38,
820,discussion,title,kipo,joop,86,
821,chat,"greet, etc",anaya,"joop, kipo",66,
822,question,tp device,sowelilili,-,71,
823,chat,mishmash,"Gysel, tom",daraffa,397,
824,chat,school,andree,"jbs, ddii, jona",54,
825,question,german card,moniz,-,7,
826,vignette,cat,sala,"kra""mer,sewe",110,
827,vignette,statue of liberty,sewe,campbell,412,
828,question,good law,miles,kipo,17,
829,vignette,come summer,tikhonov,sewe,45,
830,vignette,lorelei,sala,sewe,66,
831,discussion ,vegan cat food,tikhonov,"campbell, niko, sewe, misha",125,
832,announcement,tp page,"de la Verdie\re, Sylvain-Rene'",puddu,116,
833,chat,richard simonds,jbs,sewe,61,
834,question,favorite food,ddii,"tihonov, sewe, sala, kra""mer, Thomas, Stuart; jbs,",343,
835,discussion,toot brushing,tayor,"ddii, sotan, kipo, pilo",77,
836,chat,many animals,K? B?o Nh? Trúc,"hansberry, sala, sewe",59,
837,chat,birds,campbell,"sala, sewe, puddu,wiki",304,
838,chat,old computers,hansberry,"sewe, campbell, jbs, puddu, tihonov,",196,
839,maxim,war,wiki,-,41,
840,vignette,pinup,sewe,-,35,
841,question,group asleep,wiki,"jbs, mato, sewe",52,
842,vignette,Ottawa,jona,"campbell, moreira, wiki, sewe",147,
843,chat,hobbits and school,howlett,"kipo, hansberry, campbell, wiki, sewe, mali",398,
844,chat,virtues of tp,taylor,"wiki, mreira, sewe",277,
845,criticism,things in house,"Koory, Michael",-,50,
845i,vignette,bookcases,hansberry,"sewe, sala, castelbou, jbs",149,
845a,complaint,things in house,koory,-,50,
845b,chat,new years plans,sala,"jbs, Keller,Evert, kipo, mali",166,
845c,wile sona,tp,madrigal,"kipo, sewe",37,
845d,vignette,cat gifts,sala,-,50,
845e,vignette,aborted trip,miles,-,93,
845f,chat,solstice,jbs,-,20,
845g,question,word too much,ke'vin,kipo,38,
845i,question,arrest,tihonov,"kipo, jbs",153,
845j,tale,sepi 2,tibbetts john,-,176,
845k,discussion,mi ale wile,Lê Hoàng Kim D??ng,"O'Sullivan, Michael; niko, kipo, phrank kim",104,
845h,discussion,wisija,"Thomas,stuart;","engelhardt, pilo, kipo, brindle, sala",174,
846,vignette,pizza,taylor,"englehardt, wiki, mali,hansberry",208,
